source_artifact,model_id,environment,decoder,label_mapping,decoder_value_gap
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.1,B-C-A,0.0
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.3,B-C-A,0.0
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5_then_top_p_0.8,B-C-A,0.028495340990560808
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.8_then_temperature_0.5,B-C-A,0.028495340990560808
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,greedy,C-A-B,0.1006046304036869
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5,C-A-B,0.06315280096899742
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_1.5,C-A-B,-0.04648412743459693
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_k_2,C-A-B,0.01539752534429286
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.6,C-A-B,0.1006046304036869
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.9,C-A-B,0.01539752534429286
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.1,C-A-B,0.01539752534429286
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.3,C-A-B,0.01539752534429286
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5_then_top_p_0.8,C-A-B,0.1006046304036869
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.8_then_temperature_0.5,C-A-B,0.06394126498339622
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,greedy,C-B-A,0.12417944785796106
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5,C-B-A,0.029734504927531644
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_1.5,C-B-A,-0.026621127492603883
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_k_2,C-B-A,0.015012912345716348
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.6,C-B-A,0.015012912345716348
